,text,label
0,LT EN_WORD GT LT A EN_WORD EQ DQUT SLSH EN_WORD SLSH FILE CLN EN_WORD DOT EN_WORD DQUT CLASS EQ DQUT EN_WORD DQUT GT LT EN_WORD EN_WORD EQ DQUT EN_WORD DOT EN_WORD DQUT EN_WORD EQ DQUT SLSH SLSH EN_WORD DOT EN_WORD DOT EN_WORD SLSH EN_WORD SLSH EN_WORD SLSH EN_WORD SLSH C SLSH EN_WORD SLSH EN_WORD DOT EN_WORD SLSH EN_WORD MINUS EN_WORD DOT EN_WORD DQUT EN_WORD EQ DQUT EN_WORD DQUT EN_WORD EQ DQUT EN_WORD DQUT EN_WORD EQ DQUT EN_WORD DQUT CLASS EQ DQUT EN_WORD DQUT EN_WORD EQ DQUT SLSH SLSH EN_WORD DOT EN_WORD DOT EN_WORD SLSH EN_WORD SLSH EN_WORD SLSH EN_WORD SLSH C SLSH EN_WORD SLSH EN_WORD DOT EN_WORD SLSH EN_WORD MINUS EN_WORD DOT EN_WORD EN_WORD DOT EN_WORD CMMA SLSH SLSH EN_WORD DOT EN_WORD DOT EN_WORD SLSH EN_WORD SLSH EN_WORD SLSH EN_WORD SLSH C SLSH EN_WORD SLSH EN_WORD DOT EN_WORD SLSH EN_WORD MINUS EN_WORD DOT EN_WORD EN_WORD DQUT DATA MINUS FILE MINUS EN_WORD EQ DQUT EN_WORD DQUT DATA MINUS FILE MINUS EN_WORD EQ DQUT EN_WORD DQUT SLSH GT LT SLSH A GT LT A EN_WORD EQ DQUT SLSH EN_WORD SLSH EN_WORD CLN EN_WORD DQUT EN_WORD EQ DQUT EN_WORD CLN EN_WORD DQUT GT EN_WORD BITAND HASH EN_WORD SMCLN EN_WORD LT SLSH A GT LT SLSH EN_WORD GT LT SLSH EN_WORD GT,xss
1,LT EN_WORD EN_WORD EQ DQUT EN_WORD LPRN EN_WORD RPRN DQUT GT EN_WORD LT SLSH EN_WORD GT,xss
2,LT SLSH EN_WORD GT LT EN_WORD CLASS EQ DQUT EN_WORD MINUS TEXT DQUT GT EN_WORD FOR EN_WORD INT DQUT LT A EN_WORD EQ DQUT SLSH EN_WORD SLSH EN_WORD HASH EN_WORD DQUT CLASS EQ DQUT EN_WORD MINUS EN_WORD DQUT EN_WORD EQ DQUT EN_WORD OF EN_WORD EN_WORD DQUT GT NO EN_WORD EN_WORD EN_WORD LT SLSH A GT DQUT EN_WORD DQUT ONLY A EN_WORD EN_WORD EN_WORD DQUT DOT,xss
3,LT SLSH EN_WORD GT LT EN_WORD CLASS EQ DQUT EN_WORD MINUS TEXT DQUT GT LT EN_WORD CLASS EQ DQUT EN_WORD EN_WORD DQUT GT LT A EN_WORD EQ DQUT EN_WORD DQUT CLASS EQ DQUT EXTERNAL TEXT DQUT EN_WORD EQ DQUT EN_WORD CLN SLSH SLSH EN_WORD DOT EN_WORD DOT EN_WORD SLSH EN_WORD SLSH EN_WORD DQUT GT DQUT EN_WORD EN_WORD BITOR EN_WORD OF EN_WORD BITOR EN_WORD EN_WORD FOR EN_WORD BITAND EN_WORD SMCLN A EN_WORD EN_WORD DQUT LT SLSH A GT DOT LT EN_WORD GT EN_WORD DOT EN_WORD DOT EN_WORD LT SLSH EN_WORD GT LT EN_WORD CLASS EQ DQUT EN_WORD MINUS EN_WORD DQUT GT DOT EN_WORD LT EN_WORD CLASS EQ DQUT EN_WORD DQUT GT EN_WORD EN_WORD,xss
4,LT SLSH EN_WORD GT DOT LT A EN_WORD EQ DQUT SLSH EN_WORD SLSH EN_WORD DQUT EN_WORD EQ DQUT EN_WORD OBJECT EN_WORD DQUT GT EN_WORD LT SLSH A GT CLN LT A EN_WORD EQ DQUT EN_WORD DQUT CLASS EQ DQUT EXTERNAL TEXT DQUT EN_WORD EQ DQUT EN_WORD CLN SLSH SLSH EN_WORD DOT EN_WORD SLSH EN_WORD DOT EN_WORD PRCNT EN_WORD MINUS EN_WORD PRCNT EN_WORD PRCNT EN_WORD MINUS EN_WORD DQUT GT EN_WORD DOT EN_WORD SLSH EN_WORD MINUS EN_WORD LPRN EN_WORD RPRN EN_WORD MINUS EN_WORD LT SLSH A GT DOT LT A EN_WORD EQ DQUT EN_WORD DQUT CLASS EQ DQUT EXTERNAL TEXT DQUT EN_WORD EQ DQUT EN_WORD CLN SLSH SLSH EN_WORD DOT EN_WORD DOT EN_WORD SLSH EN_WORD SLSH EN_WORD SLSH EN_WORD CLN SLSH SLSH EN_WORD DOT EN_WORD DOT EN_WORD DOT EN_WORD SLSH EN_WORD SLSH EN_WORD SLSH EN_WORD DOT EN_WORD DQUT GT EN_WORD LT SLSH A GT LT EN_WORD CLASS EQ DQUT EN_WORD MINUS EN_WORD DQUT GT LPRN EN_WORD RPRN,xss
5,LT EN_WORD ID EQ DQUT EN_WORD MINUS EN_WORD DQUT GT LT EN_WORD CLASS EQ DQUT EN_WORD MINUS EN_WORD MINUS EN_WORD DQUT GT LT EN_WORD GT LT A EN_WORD EQ DQUT HASH EN_WORD MINUS EN_WORD DQUT GT XOR LT SLSH A GT LT SLSH EN_WORD GT,xss
6,LT EN_WORD GT LT A EN_WORD EQ DQUT SLSH EN_WORD SLSH EN_WORD DQUT EN_WORD EQ DQUT EN_WORD DQUT GT EN_WORD LT SLSH A GT LT SLSH EN_WORD GT,xss
7,LT EN_WORD ID EQ DQUT EN_WORD MINUS EN_WORD MINUS EN_WORD DQUT GT LT EN_WORD CLASS EQ DQUT EN_WORD MINUS EN_WORD MINUS EN_WORD DQUT GT XOR LT A EN_WORD EQ DQUT HASH EN_WORD MINUS EN_WORD MINUS EN_WORD DQUT GT LT EN_WORD GT LT EN_WORD GT LT EN_WORD GT A LT SLSH EN_WORD GT LT SLSH EN_WORD GT LT SLSH EN_WORD GT LT SLSH A GT LT A EN_WORD EQ DQUT HASH EN_WORD MINUS EN_WORD MINUS EN_WORD DQUT GT LT EN_WORD GT LT EN_WORD GT LT EN_WORD GT EN_WORD LT SLSH EN_WORD GT LT SLSH EN_WORD GT LT SLSH EN_WORD GT LT SLSH A GT,xss
8,LT EN_WORD GT LT EN_WORD CLASS EQ DQUT EN_WORD DQUT STYLE EQ DQUT EN_WORD CLN EN_WORD EN_WORD DOT EN_WORD EN_WORD DOT EN_WORD DQUT GT,xss
9,LT SLSH EN_WORD GT,xss
10,LT EN_WORD GT LT A EN_WORD EQ DQUT SLSH EN_WORD SLSH EN_WORD PRCNT EN_WORD PRCNT EN_WORD PRCNT EN_WORD DQUT EN_WORD EQ DQUT EN_WORD EN_WORD DQUT GT EN_WORD EN_WORD LT SLSH A GT,xss
11,LT A EN_WORD EQ EN_WORD LPRN EN_WORD RPRN EN_WORD EQ EN_WORD ID EQ EN_WORD GT LT SLSH A GT LT INPUT EN_WORD GT,xss
12,LT EN_WORD EN_WORD EQ DQUT TRUE DQUT EN_WORD EQ DQUT EN_WORD LPRN EN_WORD RPRN DQUT GT EN_WORD LT SLSH EN_WORD GT,xss
13,LT EN_WORD EN_WORD EQ EN_WORD LPRN EN_WORD RPRN GT EN_WORD LT SLSH EN_WORD GT,xss
14,LT SLSH EN_WORD GT,xss
15,LT SLSH EN_WORD GT LT LINK EN_WORD EQ DQUT EN_WORD MINUS EN_WORD MINUS INLINE MINUS STYLE DQUT EN_WORD EQ DQUT EN_WORD MINUS DATA CLN EN_WORD CLN EN_WORD DQUT SLSH GT LT SLSH EN_WORD GT,xss
16,LT EN_WORD ID EQ EN_WORD EN_WORD EQ EN_WORD EN_WORD EQ EN_WORD LPRN EN_WORD RPRN GT LT SLSH EN_WORD GT LT INPUT ID EQ EN_WORD EN_WORD GT,xss
17,LT STYLE EN_WORD EQ DQUT EN_WORD LPRN EN_WORD RPRN DQUT GT EN_WORD LT SLSH STYLE GT,xss
18,LT EN_WORD GT LT EN_WORD EN_WORD EQ EN_WORD LPRN EN_WORD RPRN GT LT SLSH EN_WORD GT,xss
19,LT EN_WORD GT LT A EN_WORD EQ DQUT SLSH EN_WORD SLSH EN_WORD DQUT EN_WORD EQ DQUT EN_WORD LANGUAGE DQUT GT EN_WORD LANGUAGE LT SLSH A GT LT SLSH EN_WORD GT,xss
20,LT EN_WORD EN_WORD EQ EN_WORD LPRN EN_WORD RPRN GT EN_WORD LT SLSH EN_WORD GT,xss
21,LT SLSH EN_WORD GT LT EN_WORD CLASS EQ DQUT EN_WORD MINUS TEXT DQUT GT LT EN_WORD CLASS EQ DQUT EN_WORD EN_WORD DQUT GT LT A EN_WORD EQ DQUT EN_WORD DQUT CLASS EQ DQUT EXTERNAL TEXT DQUT EN_WORD EQ DQUT EN_WORD CLN SLSH SLSH EN_WORD DOT EN_WORD DOT EN_WORD SLSH EN_WORD SLSH EN_WORD MINUS EN_WORD SLSH EN_WORD MINUS EN_WORD MINUS EN_WORD MINUS EN_WORD MINUS EN_WORD MINUS OLD MINUS EN_WORD MINUS EN_WORD MINUS EN_WORD MINUS NOT DQUT GT DQUT FROM NOT EN_WORD TO EN_WORD EN_WORD DQUT LT SLSH A GT DOT LT EN_WORD GT EN_WORD EN_WORD LT SLSH EN_WORD GT DOT EN_WORD LT EN_WORD CLASS EQ DQUT EN_WORD MINUS EN_WORD DQUT GT DOT EN_WORD LT EN_WORD CLASS EQ DQUT EN_WORD DQUT GT EN_WORD EN_WORD,xss
22,LT SLSH DIV GT,xss
23,LT EN_WORD ID EQ EN_WORD EN_WORD EQ EN_WORD EN_WORD EQ EN_WORD LPRN EN_WORD RPRN GT LT SLSH EN_WORD GT,xss
24,LT INPUT TYPE EQ EN_WORD EN_WORD EQ EN_WORD EN_WORD EQ EN_WORD LPRN EN_WORD RPRN GT,xss
25,LT EN_WORD EN_WORD EQ DQUT EN_WORD LPRN EN_WORD RPRN DQUT GT EN_WORD LT SLSH EN_WORD GT,xss
26,LT EN_WORD GT LT A EN_WORD EQ DQUT SLSH EN_WORD SLSH EN_WORD DQUT EN_WORD EQ DQUT EN_WORD DATA STORAGE DQUT GT EN_WORD STORAGE EN_WORD LT SLSH A GT LT SLSH EN_WORD GT,xss
27,LT DIV EN_WORD EQ DQUT TRUE DQUT EN_WORD GT EN_WORD EN_WORD LT SLSH DIV GT LT INPUT EN_WORD EQ EN_WORD LPRN EN_WORD RPRN EN_WORD GT DROP EN_WORD LT SLSH INPUT GT,xss
28,LT SLSH EN_WORD GT LT LINK EN_WORD EQ DQUT EN_WORD MINUS EN_WORD MINUS INLINE MINUS STYLE DQUT EN_WORD EQ DQUT EN_WORD MINUS DATA CLN EN_WORD CLN EN_WORD DQUT SLSH GT LT SLSH EN_WORD GT,xss
